scenario,treatment_var,panel,sample_group,period,treatment_group,n_couples
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cc,"Husband shutdown, wife not",12
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cc,All other couples,289
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cd,"Husband shutdown, wife not",14
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cd,All other couples,273
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ce,"Husband shutdown, wife not",14
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ce,All other couples,276
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cf,"Husband shutdown, wife not",14
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cf,All other couples,257
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cg,"Husband shutdown, wife not",12
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,cg,All other couples,243
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ch,"Husband shutdown, wife not",13
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ch,All other couples,254
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ci,"Husband shutdown, wife not",13
2019_only,treat_husb_shutdown_wife_not,covid_wave,Young kids: 0-10,ci,All other couples,263
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,2019,"Husband shutdown, wife not",8
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,2019,All other couples,163
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,baseline,"Husband shutdown, wife not",8
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,baseline,All other couples,163
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ca,"Husband shutdown, wife not",8
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ca,All other couples,160
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cb,"Husband shutdown, wife not",6
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cb,All other couples,151
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cc,"Husband shutdown, wife not",6
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cc,All other couples,153
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cd,"Husband shutdown, wife not",7
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cd,All other couples,146
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ce,"Husband shutdown, wife not",6
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ce,All other couples,138
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cf,"Husband shutdown, wife not",7
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cf,All other couples,126
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cg,"Husband shutdown, wife not",7
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,cg,All other couples,132
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ch,"Husband shutdown, wife not",7
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ch,All other couples,132
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ci,"Husband shutdown, wife not",7
2019_only,treat_husb_shutdown_wife_not,covid_wave,Older kids: 11-17,ci,All other couples,138
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2009,"Husband shutdown, wife not",19
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2009,All other couples,553
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2010,"Husband shutdown, wife not",64
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2010,All other couples,1444
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2011,"Husband shutdown, wife not",71
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2011,All other couples,1519
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2012,"Husband shutdown, wife not",70
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2012,All other couples,1526
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2013,"Husband shutdown, wife not",65
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2013,All other couples,1499
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2014,"Husband shutdown, wife not",63
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2014,All other couples,1499
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2015,"Husband shutdown, wife not",72
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2015,All other couples,1635
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2016,"Husband shutdown, wife not",78
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2016,All other couples,1676
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2017,"Husband shutdown, wife not",70
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2017,All other couples,1669
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2018,"Husband shutdown, wife not",78
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2018,All other couples,1704
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2019,"Husband shutdown, wife not",85
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2019,All other couples,1832
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2020,"Husband shutdown, wife not",35
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2020,All other couples,839
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2021,"Husband shutdown, wife not",43
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2021,All other couples,975
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2022,"Husband shutdown, wife not",42
2019_only,treat_husb_shutdown_wife_not,history_future_year,All couples,2022,All other couples,897
