treatment_var,panel,sample_group,period,treatment_group,2019_only,combined,gain
treat_husb_shutdown_wife_not,history_future_year,All couples,2015,All other couples,1635,2185,550
treat_husb_shutdown_wife_not,history_future_year,All couples,2016,"Husband shutdown, wife not",78,104,26
treat_husb_shutdown_wife_not,history_future_year,All couples,2016,All other couples,1676,2241,565
treat_husb_shutdown_wife_not,history_future_year,All couples,2017,"Husband shutdown, wife not",70,94,24
treat_husb_shutdown_wife_not,history_future_year,All couples,2017,All other couples,1669,2203,534
treat_husb_shutdown_wife_not,history_future_year,All couples,2018,"Husband shutdown, wife not",78,108,30
treat_husb_shutdown_wife_not,history_future_year,All couples,2018,All other couples,1704,2338,634
treat_husb_shutdown_wife_not,history_future_year,All couples,2019,"Husband shutdown, wife not",85,85,0
treat_husb_shutdown_wife_not,history_future_year,All couples,2019,All other couples,1832,1832,0
treat_husb_shutdown_wife_not,history_future_year,All couples,2020,"Husband shutdown, wife not",35,45,10
treat_husb_shutdown_wife_not,history_future_year,All couples,2020,All other couples,839,1046,207
treat_husb_shutdown_wife_not,history_future_year,All couples,2021,"Husband shutdown, wife not",43,51,8
treat_husb_shutdown_wife_not,history_future_year,All couples,2021,All other couples,975,1172,197
treat_husb_shutdown_wife_not,history_future_year,All couples,2022,"Husband shutdown, wife not",42,49,7
treat_husb_shutdown_wife_not,history_future_year,All couples,2022,All other couples,897,1105,208
treat_husb_shutdown_wife_not,history_future_year,All couples,2023,"Husband shutdown, wife not",39,45,6
treat_husb_shutdown_wife_not,history_future_year,All couples,2023,All other couples,887,1094,207
treat_husb_shutdown_wife_not,history_future_year,All couples,2024,"Husband shutdown, wife not",19,21,2
treat_husb_shutdown_wife_not,history_future_year,All couples,2024,All other couples,329,388,59
